Name,AUID,Coords,Const,Type,Period,Mag
"L2 Pup","000-BCZ-552","07 13 32.32 -44 38 23.1","Pup","SRB","140.6","2.6 - 8.0 V"
"WX Ret","000-BCX-646","03 37 44.56 -55 23 46.7","Ret","SRA","266","7.78 - 9.52 V"
"RY Sgr","000-BCG-016","19 16 32.77 -33 31 20.4","Sgr","RCB","37.67","5.8 - 14.0 V"
"UX Sgr","000-BCW-982","18 54 54.48 -16 31 31.4","Sgr","SRB","95.7","7.25 - 8.3 V"
"V1943 Sgr","000-BCX-064","20 06 55.24 -27 13 29.8","Sgr","SRB","330","7.1 - 8.4 V"
"AH Sco","000-BBY-609","17 11 17.02 -32 19 30.7","Sco","SRC","735","6.7 - 9.5 V"
"BM Sco","000-BBZ-237","17 40 58.55 -32 12 52.1","Sco","L","--","5.25 - 6.46 V"
"V0905 Sco","000-BCX-161","17 41 59.03 -33 30 13.7","Sco","SDOR","57:","6.21 - 6.97 V"
"SW Scl","000-BCX-181","00 06 14.20 -32 48 58.9","Scl","SRC","143.6","7.3 - 9.32 V"
"R Sct","000-BCD-304","18 47 28.95 -05 42 18.5","Sct","RVA","146.5","4.2 - 8.6 V"
"tau 4 Ser","000-BBW-373","15 36 28.19 +15 06 05.0","Ser","SRB","86.7","5.89 - 7.07 V"
"Y Tau","000-BBK-127","05 45 39.41 +20 41 42.1","Tau","SRB","245","6.4 - 7.3 V"
"RX Tel","000-BCX-326","19 06 58.21 -45 58 13.5","Tel","LC","--","6.45 - 7.47 V"
"BL Tel","000-BCX-337","19 06 38.11 -51 25 03.2","Tel","EA/GS+SRD","778.0","7.09 - 9.08 V"
"W Tri","000-BCX-344","02 41 30.57 +34 30 58.0","Tri","SR","108","7.4 - 8.4 V"
"X TrA","000-BCX-365","15 14 19.17 -70 04 46.0","TrA","SR","361.1","5.03 - 6.05 V"
"DM Tuc","000-BFN-974","22 57 05.78 -57 24 03.7","Tuc","SRB","74.58","6.88 - 8.19 V"
